id,title,url,isPaid,price,numSubscribers,numReviews,NumberOfLectures,instructionalLevel,contentInfo,publishedTime,,,Is Paid,Total,Percent
28295,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,TRUE,75,43285,525,24,All Levels,4 hours,2013-01-03T00:55:31Z,,,Yes,1067,89%
19603,Learning Dynamic Website Design - PHP MySQL and JavaScript,https://www.udemy.com/learning-dynamic-website-design/,TRUE,50,47886,285,125,All Levels,12.5 hours,2012-06-18T16:52:34Z,,,No,133,11%
889438,ChatBots: Messenger ChatBot with API.AI and Node.JS,https://www.udemy.com/chatbots/,TRUE,50,2577,529,64,All Levels,4.5 hours,2016-06-30T16:57:08Z,,,,,
197836,Projects in HTML5,https://www.udemy.com/projects-in-html5/,TRUE,60,8777,206,75,Intermediate Level,15.5 hours,2014-06-17T05:43:50Z,,,,,
505208,Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,https://www.udemy.com/html-css-more/,TRUE,20,23764,490,58,Beginner Level,5.5 hours,2015-10-17T04:52:25Z,,,,,
1086834,How To Make A Wordpress Website 2017 | Divi Theme Tutorial,https://www.udemy.com/how-to-make-a-wordpress-website-2017-divi-theme-tutorial/,TRUE,40,3541,202,37,Beginner Level,4 hours,2017-01-26T22:15:02Z,,,,,
1094964,Build Your Own Backend REST API using Django REST Framework,https://www.udemy.com/django-python/,TRUE,50,2669,112,72,Intermediate Level,5.5 hours,2017-04-27T19:21:11Z,,,,,
965870,Angular and Firebase - Build a Web App with Typescript,https://www.udemy.com/angular-firebase-application/,TRUE,150,1966,359,65,All Levels,5 hours,2016-09-27T21:46:03Z,,,,,
965528,Web Development Masterclass - Complete Certificate Course,https://www.udemy.com/web-development-masterclass-complete-certificate-course/,TRUE,200,4090,178,348,All Levels,19.5 hours,2016-10-12T03:14:13Z,,,,,
1078208,Spring Boot Tutorial For Beginners,https://www.udemy.com/spring-boot-tutorial-for-beginners/,TRUE,40,2578,210,39,Beginner Level,5.5 hours,2017-01-23T15:13:53Z,,,,,
642410,The Complete Bootstrap Masterclass Course - Build 4 Projects,https://www.udemy.com/bootstrapcourse/,TRUE,195,24978,540,67,All Levels,7 hours,2015-10-27T20:27:11Z,,,,,
785388,Scaling Docker on AWS,https://www.udemy.com/scaling-docker-on-aws/,TRUE,25,3133,351,63,All Levels,6 hours,2016-03-28T17:51:04Z,,,,,
1146014,Learn JavaScript for beginners,https://www.udemy.com/learn-javascript-course/,TRUE,200,15276,167,19,Beginner Level,1.5 hours,2017-03-16T20:57:12Z,,,,,
8325,HTML Tutorial: HTML & CSS for Beginners,https://www.udemy.com/learn-html5/,TRUE,20,12458,253,82,All Levels,4 hours,2011-09-09T15:28:59Z,,,,,
987064,Learn by Doing: Vue JS 2.0 the Right Way,https://www.udemy.com/learn-by-doing-vue-js-2-the-right-way/,TRUE,95,1087,220,32,Intermediate Level,3.5 hours,2016-11-07T17:53:40Z,,,,,
94428,Learn Complete Web Development From Scratch,https://www.udemy.com/learn-complete-web-development-from-scratch/,TRUE,40,14074,106,46,All Levels,12 hours,2013-10-23T09:23:00Z,,,,,
159070,Introduction to Web Development: HTML,https://www.udemy.com/webdevelopment101_html/,TRUE,20,26800,333,55,Beginner Level,3 hours,2014-02-13T20:39:33Z,,,,,
920306,Web Site for Beginners - Learn Web Building like knitting,https://www.udemy.com/web-design-for-grandmothers-with-html/,TRUE,20,9425,147,14,Beginner Level,1.5 hours,2016-08-10T00:40:59Z,,,,,
1089744,How To Make A Wordpress Website 2017 - Divi Theme Tutorial,https://www.udemy.com/how-to-make-a-wordpress-website-2017-divi-theme-tutorial-for-beginners/,TRUE,40,2780,94,29,Beginner Level,3 hours,2017-01-26T17:16:27Z,,,,,
16646,Web Programming with Python,https://www.udemy.com/web-programming-with-python/,TRUE,50,35267,217,53,All Levels,4 hours,2012-04-25T00:01:43Z,,,,,
678142,PHP Login and Registration System - Email Confirm Activation,https://www.udemy.com/php-mysql-login-and-registration-system-with-email-confirm-activation/,TRUE,100,2607,317,49,All Levels,5 hours,2015-11-26T23:56:12Z,,,,,
948440,PSD to Responsive HTML5: Beginner to Advanced,https://www.udemy.com/psd-to-html5-beginner-to-advanced/,TRUE,40,1502,218,49,All Levels,6 hours,2016-10-03T21:11:56Z,,,,,
924704,Ultimate Web Developer Course Build 10 Websites from Scratch,https://www.udemy.com/ultimate-web-developer-course-build-10-websites-from-scratch/,TRUE,200,9359,110,402,Beginner Level,32.5 hours,2016-10-10T15:09:14Z,,,,,
1027342,Rapid Website Design with Bootstrap,https://www.udemy.com/responsive-website-design/,TRUE,200,14842,131,17,Beginner Level,1 hour,2016-12-02T00:45:36Z,,,,,
1009452,Build Enterprise Applications with Angular 2 (and Angular 4),https://www.udemy.com/angular2-advanced/,TRUE,190,6082,848,135,Intermediate Level,9.5 hours,2016-11-22T14:55:35Z,,,,,
1247828,Angular 4 (2+) Crash Course for Beginners,https://www.udemy.com/angular-crash-course-for-beginners/,TRUE,120,12366,506,120,Beginner Level,9 hours,2017-06-23T00:35:49Z,,,,,
886300,Accelerated JavaScript Training,https://www.udemy.com/javascript-bootcamp-2016/,TRUE,110,4720,1017,126,All Levels,7.5 hours,2016-07-12T18:23:35Z,,,,,
1009254,"Beginner API development in Node, Express, ES6, & MongoDB",https://www.udemy.com/api-development/,TRUE,165,7057,655,65,Beginner Level,18.5 hours,2016-11-12T18:53:51Z,,,,,
1078522,React JS and Redux - Mastering Web Apps,https://www.udemy.com/react-js-and-redux-mastering-web-apps/,TRUE,60,16829,820,77,All Levels,5 hours,2017-01-19T04:58:10Z,,,,,
1002030,Web Development w/ Google’s Go (golang) Programming Language,https://www.udemy.com/go-programming-language/,TRUE,65,4872,662,171,Intermediate Level,19 hours,2017-01-17T22:30:33Z,,,,,
818990,Git a Web Developer Job: Mastering the Modern Workflow,https://www.udemy.com/git-a-web-developer-job-mastering-the-modern-workflow/,TRUE,200,5809,1445,61,Beginner Level,15 hours,2016-08-28T17:54:07Z,,,,,
520116,The Complete WordPress Website Business Course,https://www.udemy.com/the-complete-wordpress-website-business-course/,TRUE,150,13439,1981,89,All Levels,20.5 hours,2016-11-01T23:50:51Z,,,,,
1252318,The Complete HTML and CSS Course For Beginners,https://www.udemy.com/the-complete-html-and-css-course-for-beginners/,TRUE,85,733,104,50,All Levels,3 hours,2017-06-20T16:05:46Z,,,,,
427530,Learn  Bootstrap Development By Building 10 Projects,https://www.udemy.com/learn-bootstrap-development-by-building-10-projects/,TRUE,60,14813,1358,74,All Levels,13.5 hours,2015-02-23T12:04:53Z,,,,,
670034,Advanced Javascript,https://www.udemy.com/top-javascript-interview-questions-and-answers/,TRUE,200,6601,1304,26,Intermediate Level,3.5 hours,2015-11-21T06:56:33Z,,,,,
1052118,Dissecting Ruby on Rails 5 - Become a Professional Developer,https://www.udemy.com/professional-rails-5-development-course/,TRUE,195,2804,418,212,All Levels,37.5 hours,2017-02-07T00:40:33Z,,,,,
575880,The Complete Wordpress Course - Build Your Own Website Today,https://www.udemy.com/wordpresscourse/,TRUE,195,9421,73,36,All Levels,3.5 hours,2015-08-25T00:03:06Z,,,,,
669270,JQuery Essentials core training for Dynamic Interactive web,https://www.udemy.com/jquery-essentials-core-training-for-dynamic-interactive-web/,TRUE,100,9668,38,52,All Levels,4 hours,2015-11-20T17:22:00Z,,,,,
1103954,Node.js: The Essentials + API Frameworks Express KOA Sails,https://www.udemy.com/nodejs-up-and-running/,TRUE,20,2760,52,34,Beginner Level,1 hour,2017-02-16T21:59:01Z,,,,,
1017568,The Complete PHP Bootcamp Course With Video Sharing Project,https://www.udemy.com/php-bootcamp/,TRUE,195,9831,56,74,Beginner Level,14.5 hours,2017-03-21T23:50:38Z,,,,,
1111844,Build a Single Page Application with jQuery & AJAX,https://www.udemy.com/jquery-ajax/,TRUE,60,486,59,27,Intermediate Level,2 hours,2017-02-18T01:13:09Z,,,,,
736940,Practical CSS Website Development: Crash Course ,https://www.udemy.com/css-website-development-crash-course/,TRUE,95,11170,35,19,All Levels,2.5 hours,2016-02-02T21:05:27Z,,,,,
647442,Successful website creation - everything you need to know,https://www.udemy.com/total-guide-to-creating-websites-and-an-online-web-business/,TRUE,150,9384,21,16,All Levels,1.5 hours,2015-10-22T22:54:30Z,,,,,
1073793,Start Writing JavaScript Today - Beginner JavaScript Course,https://www.udemy.com/start-writing-javascript-today/,TRUE,100,9067,41,27,Beginner Level,3 hours,2017-03-08T22:34:43Z,,,,,
176432,HTML5 Essentials for Beginners,https://www.udemy.com/html5-essentials-for-beginners/,TRUE,20,10247,200,15,Intermediate Level,1.5 hours,2014-03-14T21:46:36Z,,,,,
158934,Code a personal splash page in 1 hour,https://www.udemy.com/intro-to-html-and-css/,TRUE,20,10610,83,10,Beginner Level,1 hour,2014-02-12T21:27:40Z,,,,,
73080,Step-by-step HTML and CSS for Absolute Beginners,https://www.udemy.com/step-by-step-html-and-css-for-absolute-beginners/,TRUE,120,6162,324,43,Beginner Level,4 hours,2013-08-26T19:10:57Z,,,,,
1256136,Angular 4 Development Decoded,https://www.udemy.com/marutiangular4/,TRUE,20,1802,13,8,Intermediate Level,1 hour,2017-06-21T16:37:46Z,,,,,
